,transit_timestamp,station_complex_id,station_complex,borough,routes,payment_method,ridership,transfers,latitude,longitude,georeference
901,2023-01-20T14:00:00.000,H007,1 Av (L),M,L,all,1296.0,16.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
902,2023-01-14T03:00:00.000,H007,1 Av (L),M,L,all,2.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
903,2023-01-11T14:00:00.000,H007,1 Av (L),M,L,all,1112.0,22.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
904,2023-01-01T10:00:00.000,H007,1 Av (L),M,L,all,321.0,5.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
905,2023-01-16T01:00:00.000,R170,103 St (1),M,1,all,14.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
906,2023-01-26T15:00:00.000,R170,103 St (1),M,1,all,633.0,3.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
907,2023-01-29T16:00:00.000,H007,1 Av (L),M,L,all,969.0,16.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
908,2023-01-04T20:00:00.000,R170,103 St (1),M,1,all,277.0,5.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
909,2023-01-12T12:00:00.000,H007,1 Av (L),M,L,all,593.0,15.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
910,2023-01-23T03:00:00.000,R170,103 St (1),M,1,all,6.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
911,2023-01-27T01:00:00.000,H007,1 Av (L),M,L,all,59.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
912,2023-01-31T04:00:00.000,H007,1 Av (L),M,L,all,17.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
913,2023-01-01T18:00:00.000,R252,103 St (6),M,6,all,155.0,1.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
914,2023-01-27T23:00:00.000,R170,103 St (1),M,1,all,143.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
915,2023-01-17T13:00:00.000,H007,1 Av (L),M,L,all,793.0,13.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
916,2023-01-02T03:00:00.000,H007,1 Av (L),M,L,all,22.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
917,2023-01-29T11:00:00.000,H007,1 Av (L),M,L,all,740.0,10.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
918,2023-01-10T00:00:00.000,R170,103 St (1),M,1,all,27.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
919,2023-01-23T23:00:00.000,H007,1 Av (L),M,L,all,269.0,1.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
920,2023-01-14T17:00:00.000,H007,1 Av (L),M,L,all,2.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
921,2023-01-17T09:00:00.000,R170,103 St (1),M,1,all,690.0,4.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
922,2023-01-16T22:00:00.000,H007,1 Av (L),M,L,all,413.0,6.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
923,2023-01-04T14:00:00.000,H007,1 Av (L),M,L,all,1041.0,21.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
924,2023-01-09T17:00:00.000,R170,103 St (1),M,1,all,614.0,4.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
925,2023-01-13T14:00:00.000,R170,103 St (1),M,1,all,543.0,10.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
926,2023-01-18T12:00:00.000,R170,103 St (1),M,1,all,407.0,2.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
927,2023-01-28T21:00:00.000,R170,103 St (1),M,1,all,270.0,2.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
928,2023-01-10T23:00:00.000,H007,1 Av (L),M,L,all,286.0,4.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
929,2023-01-24T04:00:00.000,H007,1 Av (L),M,L,all,23.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
930,2023-01-30T19:00:00.000,H007,1 Av (L),M,L,all,893.0,13.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
931,2023-01-07T15:00:00.000,R170,103 St (1),M,1,all,478.0,5.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
932,2023-01-25T07:00:00.000,H007,1 Av (L),M,L,all,991.0,11.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
933,2023-01-15T00:00:00.000,R170,103 St (1),M,1,all,84.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
934,2023-01-10T13:00:00.000,H007,1 Av (L),M,L,all,708.0,11.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
935,2023-01-02T13:00:00.000,H007,1 Av (L),M,L,all,791.0,7.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
936,2023-01-18T17:00:00.000,H007,1 Av (L),M,L,all,1509.0,35.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
937,2023-01-25T03:00:00.000,R170,103 St (1),M,1,all,13.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
938,2023-01-23T16:00:00.000,R170,103 St (1),M,1,all,572.0,5.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
939,2023-01-18T06:00:00.000,H007,1 Av (L),M,L,all,339.0,9.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
940,2023-01-14T19:00:00.000,H007,1 Av (L),M,L,all,1.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
941,2023-01-12T07:00:00.000,H007,1 Av (L),M,L,all,957.0,17.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
942,2023-01-04T13:00:00.000,R170,103 St (1),M,1,all,408.0,4.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
943,2023-01-01T18:00:00.000,R170,103 St (1),M,1,all,260.0,2.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
944,2023-01-05T23:00:00.000,R252,103 St (6),M,6,all,83.0,0.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
945,2023-01-27T13:00:00.000,R170,103 St (1),M,1,all,493.0,2.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
946,2023-01-14T05:00:00.000,R170,103 St (1),M,1,all,22.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
947,2023-01-01T22:00:00.000,H007,1 Av (L),M,L,all,353.0,4.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
948,2023-01-20T01:00:00.000,H007,1 Av (L),M,L,all,80.0,3.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
949,2023-01-20T18:00:00.000,H007,1 Av (L),M,L,all,1692.0,24.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
950,2023-01-03T21:00:00.000,H007,1 Av (L),M,L,all,493.0,8.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
951,2023-01-04T23:00:00.000,R170,103 St (1),M,1,all,74.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
952,2023-01-09T16:00:00.000,R170,103 St (1),M,1,all,635.0,6.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
953,2023-01-29T22:00:00.000,R170,103 St (1),M,1,all,146.0,3.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
954,2023-01-19T14:00:00.000,H007,1 Av (L),M,L,all,1161.0,18.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
955,2023-01-21T12:00:00.000,H007,1 Av (L),M,L,all,2.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
956,2023-01-11T08:00:00.000,R170,103 St (1),M,1,all,1032.0,9.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
957,2023-01-13T15:00:00.000,H007,1 Av (L),M,L,all,1325.0,34.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
958,2023-01-03T13:00:00.000,R170,103 St (1),M,1,all,420.0,2.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
959,2023-01-02T03:00:00.000,R170,103 St (1),M,1,all,10.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
960,2023-01-05T19:00:00.000,H007,1 Av (L),M,L,all,985.0,18.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
961,2023-01-01T03:00:00.000,R170,103 St (1),M,1,all,28.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
962,2023-01-09T06:00:00.000,R170,103 St (1),M,1,all,184.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
963,2023-01-02T06:00:00.000,R252,103 St (6),M,6,all,118.0,0.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
964,2023-01-05T13:00:00.000,R170,103 St (1),M,1,all,437.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
965,2023-01-26T05:00:00.000,R170,103 St (1),M,1,all,57.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
966,2023-01-07T18:00:00.000,H007,1 Av (L),M,L,all,1103.0,11.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
967,2023-01-21T04:00:00.000,R170,103 St (1),M,1,all,13.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
968,2023-01-04T10:00:00.000,R170,103 St (1),M,1,all,452.0,3.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
969,2023-01-05T05:00:00.000,H007,1 Av (L),M,L,all,63.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
